ID,term,count
GO:0032230,"positive regulation of synaptic transmission, GABAergic",2
GO:0007168,receptor guanylyl cyclase signaling pathway,2
GO:2000251,positive regulation of actin cytoskeleton reorganization,2
GO:0090303,positive regulation of wound healing,2
GO:0090398,cellular senescence,2
GO:2000573,positive regulation of DNA biosynthetic process,2
GO:0051461,positive regulation of corticotropin secretion,2
GO:0008643,carbohydrate transport,2
GO:0014909,smooth muscle cell migration,2
GO:0045823,positive regulation of heart contraction,2
GO:0035293,chitin-based larval cuticle pattern formation,2
GO:0006937,regulation of muscle contraction,2
GO:2000304,positive regulation of ceramide biosynthetic process,2
GO:0034351,negative regulation of glial cell apoptotic process,2
GO:0040002,collagen and cuticulin-based cuticle development,2
GO:0050975,sensory perception of touch,2
GO:0010592,positive regulation of lamellipodium assembly,2
GO:0003334,keratinocyte development,2
GO:0046843,dorsal appendage formation,2
GO:0055075,potassium ion homeostasis,2
GO:0030517,negative regulation of axon extension,2
GO:0046533,negative regulation of photoreceptor cell differentiation,2
GO:0060517,epithelial cell proliferation involved in prostatic bud elongation,2
GO:0071504,cellular response to heparin,2
GO:0003188,heart valve formation,2
GO:0060729,intestinal epithelial structure maintenance,2
GO:2000138,positive regulation of cell proliferation involved in heart morphogenesis,2
GO:0003413,chondrocyte differentiation involved in endochondral bone morphogenesis,2
GO:0019100,male germ-line sex determination,2
GO:2000020,positive regulation of male gonad development,2
GO:2000741,positive regulation of mesenchymal stem cell differentiation,2
GO:0045662,negative regulation of myoblast differentiation,2
GO:0072289,metanephric nephron tubule formation,2
GO:0003415,chondrocyte hypertrophy,2
GO:0072197,ureter morphogenesis,2
GO:0072034,renal vesicle induction,2
GO:0060221,retinal rod cell differentiation,2
GO:0003203,endocardial cushion morphogenesis,2
GO:0070371,ERK1 and ERK2 cascade,2
GO:0060784,regulation of cell proliferation involved in tissue homeostasis,2
GO:0006361,transcription initiation from RNA polymerase I promoter,2
GO:0006363,termination of RNA polymerase I transcription,2
GO:0060088,auditory receptor cell stereocilium organization,2
GO:0050957,equilibrioception,2
GO:0010107,potassium ion import,2
GO:0060075,regulation of resting membrane potential,2
GO:2000974,negative regulation of pro-B cell differentiation,2
GO:0021781,glial cell fate commitment,2
GO:0021861,forebrain radial glial cell differentiation,2
GO:2000737,negative regulation of stem cell differentiation,2
GO:2000981,negative regulation of inner ear receptor cell differentiation,2
GO:0042668,auditory receptor cell fate determination,2
GO:2000978,negative regulation of forebrain neuron differentiation,2
GO:0003222,ventricular trabecula myocardium morphogenesis,2
GO:0014015,positive regulation of gliogenesis,2
GO:0003198,epithelial to mesenchymal transition involved in endocardial cushion formation,2
GO:2000678,negative regulation of transcription regulatory region DNA binding,2
GO:0045671,negative regulation of osteoclast differentiation,2
GO:0033235,positive regulation of protein sumoylation,2
GO:0009640,photomorphogenesis,2
GO:0030432,peristalsis,2
GO:0071549,cellular response to dexamethasone stimulus,2
GO:0055003,cardiac myofibril assembly,2
GO:0048739,cardiac muscle fiber development,2
GO:0048769,sarcomerogenesis,2
GO:0035995,detection of muscle stretch,2
GO:0043056,forward locomotion,2
GO:0046822,regulation of nucleocytoplasmic transport,2
GO:0060591,chondroblast differentiation,2
GO:0003278,apoptotic process involved in heart morphogenesis,2
GO:0010259,multicellular organism aging,2
GO:0009845,seed germination,2
GO:0071215,cellular response to abscisic acid stimulus,2
GO:0019371,cyclooxygenase pathway,2
GO:0010803,regulation of tumor necrosis factor-mediated signaling pathway,2
GO:0014075,response to amine,2
GO:0006670,sphingosine metabolic process,2
GO:0032811,negative regulation of epinephrine secretion,2
GO:0051270,regulation of cellular component movement,2
GO:0035641,locomotory exploration behavior,2
GO:0030007,cellular potassium ion homeostasis,2
GO:0035994,response to muscle stretch,2
GO:2000279,negative regulation of DNA biosynthetic process,2
GO:0042058,regulation of epidermal growth factor receptor signaling pathway,2
GO:0035196,production of miRNAs involved in gene silencing by miRNA,2
GO:0030727,germarium-derived female germ-line cyst formation,2
GO:2000060,positive regulation of ubiquitin-dependent protein catabolic process,2
GO:0035279,mRNA cleavage involved in gene silencing by miRNA,2
GO:0007279,pole cell formation,2
GO:0060253,negative regulation of glial cell proliferation,2
GO:0032876,negative regulation of DNA endoreduplication,2
GO:2000639,negative regulation of SREBP signaling pathway,2
GO:0035087,siRNA loading onto RISC involved in RNA interference,2
GO:0007294,germarium-derived oocyte fate determination,2
GO:0006402,mRNA catabolic process,2
GO:2000346,negative regulation of hepatocyte proliferation,2
GO:0070868,heterochromatin organization involved in chromatin silencing,2
GO:0035147,"branch fusion, open tracheal system",2
GO:0010868,negative regulation of triglyceride biosynthetic process,2
GO:0030423,targeting of mRNA for destruction involved in RNA interference,2
GO:0035190,syncytial nuclear migration,2
GO:0007096,regulation of exit from mitosis,2
GO:0036099,female germ-line stem cell population maintenance,2
GO:0030422,production of siRNA involved in RNA interference,2
GO:0045741,positive regulation of epidermal growth factor-activated receptor activity,2
GO:0033227,dsRNA transport,2
GO:0031146,SCF-dependent proteasomal ubiquitin-dependent protein catabolic process,2
GO:0060979,vasculogenesis involved in coronary vascular morphogenesis,2
GO:0015822,ornithine transport,2
GO:0051044,positive regulation of membrane protein ectodomain proteolysis,2
GO:0070207,protein homotrimerization,2
GO:2000772,regulation of cellular senescence,2
GO:0007296,vitellogenesis,2
GO:0032836,glomerular basement membrane development,2
GO:0023057,negative regulation of signaling,2
GO:0038127,ERBB signaling pathway,2
GO:0001654,eye development,2
GO:0061099,negative regulation of protein tyrosine kinase activity,2
GO:0072376,protein activation cascade,2
GO:0050982,detection of mechanical stimulus,2
GO:0010845,positive regulation of reciprocal meiotic recombination,2
GO:0007020,microtubule nucleation,2
GO:0044092,negative regulation of molecular function,1
GO:2000630,positive regulation of miRNA metabolic process,1
GO:0002292,T cell differentiation involved in immune response,1
GO:0072050,S-shaped body morphogenesis,1
GO:2000273,positive regulation of signaling receptor activity,1
GO:1901142,insulin metabolic process,1
GO:0043308,eosinophil degranulation,1
